,precision,recall,f1-score,support
0,0.8641975308641975,0.9333333333333333,0.8974358974358974,75.0
1,0.9565217391304348,0.9041095890410958,0.9295774647887325,73.0
2,0.826530612244898,0.9418604651162791,0.8804347826086957,86.0
3,0.8727272727272727,0.8,0.8347826086956521,60.0
4,0.7681159420289855,0.9724770642201835,0.8582995951417004,109.0
5,0.8409090909090909,0.9487179487179487,0.891566265060241,78.0
6,1.0,0.5777777777777777,0.732394366197183,45.0
7,0.0,0.0,0.0,46.0
8,0.6268656716417911,0.8571428571428571,0.7241379310344828,49.0
9,0.875,0.875,0.875,80.0
10,0.8450704225352113,0.8450704225352113,0.8450704225352113,71.0
11,0.7716535433070866,0.98989898989899,0.8672566371681416,99.0
12,0.9375,0.45454545454545453,0.6122448979591837,66.0
13,0.8849557522123894,0.970873786407767,0.9259259259259259,103.0
14,0.7640449438202247,0.9855072463768116,0.8607594936708861,69.0
15,0.8490566037735849,0.8823529411764706,0.8653846153846154,102.0
16,0.9882352941176471,0.9032258064516129,0.943820224719101,93.0
17,1.0,0.7971014492753623,0.8870967741935484,69.0
18,0.7833333333333333,1.0,0.8785046728971964,94.0
19,0.8839285714285714,0.99,0.9339622641509434,100.0
20,0.9195402298850575,0.9302325581395349,0.9248554913294798,86.0
21,0.8514851485148515,0.9885057471264368,0.9148936170212766,87.0
22,0.8611111111111112,0.96875,0.911764705882353,64.0
23,0.8947368421052632,0.9272727272727272,0.9107142857142856,110.0
24,0.9375,0.9905660377358491,0.963302752293578,106.0
25,0.8823529411764706,0.3191489361702128,0.46875,47.0
26,0.8515625,0.9159663865546218,0.8825910931174089,119.0
27,0.8928571428571429,0.9493670886075949,0.920245398773006,79.0
28,0.7706422018348624,1.0,0.8704663212435233,84.0
29,0.8682170542635659,0.9911504424778761,0.9256198347107438,113.0
30,0.8548387096774194,1.0,0.9217391304347826,106.0
31,1.0,0.3409090909090909,0.5084745762711864,44.0
32,1.0,0.10526315789473684,0.1904761904761905,19.0
33,0.9629629629629629,0.975,0.9689440993788819,80.0
